22 oreo shake 150 4 600 1
4 peri_peri pizza 800 3 2400 1
2 bar_b_b pizza 600 3 1800 1
1 chicken_tikka pizza 550 4 2200 1
2 bar_b_b pizza 600 1 600 1
1 chicken_tikka pizza 550 2 1100 1
2 bar_b_b pizza 600 2 1200 1
1 chicken_tikka pizza 550 1 550 1
7 masla_fries fries 180 2 360 1
23 cold_coffe shake 130 2 260 1
2 bar_b_b pizza 600 2 1200 1
23 cold_coffe shake 130 5 650 1
10 pizza_fries fries 300 4 1200 2
7 masla_fries fries 180 7 1260 1
6 plain_fries fries 150 5 750 1
2 bar_b_b pizza 600 2 1200 1
5 mexican_grill pizza 700 4 2800 1
9 mayo_fries fries 250 10 2500 1
15 jalapeno burger 380 4 1520 1
22 oreo shake 150 3 450 1
12 zinger burger 250 4 1000 1
8 bbq_fries fries 200 5 1000 1
20 nutella shake 200 1 200 1
1 chicken_tikka pizza 550 1 550 1
4 peri_peri pizza 800 4 3200 2
4 peri_peri pizza 800 4 3200 1
2 bar_b_b pizza 600 2 1200 1
5 mexican_grill pizza 700 4 2800 1
7 masla_fries fries 180 1 180 1
9 mayo_fries fries 250 9 2250 2
4 peri_peri pizza 800 1 800 1
5 mexican_grill pizza 700 3 2100 1
1 chicken_tikka pizza 550 5 2750 1
2 bar_b_b pizza 600 2 1200 1
2 bar_b_b pizza 600 2 1200 1
1 chicken_tikka pizza 550 1 550 1
4 peri_peri pizza 800 3 2400 2
4 peri_peri pizza 800 4 3200 1
10 pizza_fries fries 300 5 1500 1
9 mayo_fries fries 250 4 1000 2
7 masla_fries fries 180 7 1260 3
8 bbq_fries fries 200 5 1000 1
6 plain_fries fries 150 6 900 1
8 bbq_fries fries 200 4 800 2
7 masla_fries fries 180 5 900 1
7 masla_fries fries 180 6 1080 1
10 pizza_fries fries 300 10 3000 1
10 pizza_fries fries 300 3 900 1
9 mayo_fries fries 250 6 1500 1
1 chicken_tikka pizza 550 1 550 1
1 chicken_tikka pizza 550 1 550 1
1 chicken_tikka pizza 550 1 550 1
