1 chicken_tikka pizza 550
2 bar_b_b pizza 600
4 peri_peri pizza 800
5 mexican_grill pizza 700
6 plain_fries fries 150
7 masla_fries fries 180
8 bbq_fries fries 200
9 mayo_fries fries 250
10 pizza_fries fries 300
11 patty burger 150
12 zinger burger 250
13 grill burger 280
14 peri_peri burger 320
15 jalapeno burger 380
16 black_pepper steak 600
17 mushroom steak 650
18 mexican steak 720
19 stuff_cheese steak 770
20 nutella shake 200
21 chocolate shake 180
22 oreo shake 150
23 cold_coffe shake 130
24 cadbury_cup ice_cream 120
25 k l 45
26 a b 40
